id,segcode,bmp,emp,direction,rutting,year
111486,001630,6.463,6.768,N,0.18,2001
111493,001630,19.849,22.7,N,0.26,2001
111497,001640,0,7.4,N,0.04,2001
111489,001630,7.9,8.25,N,0.11,2001
111491,001630,14.393,18.13,N,0.16,2001
111499,001640,7.916,12.131,N,0.25,2001
111483,001630,0,0.446,N,0.21,2001
111487,001630,6.768,7.29,N,0.18,2001
111482,001620,28.63,37.23,N,0.19,2001
111484,001630,0.446,0.65,N,0.38,2001
111494,001630,22.7,32.676,N,0.18,2001
111492,001630,18.13,19.849,N,0.2,2001
111506,001650,9.66,9.765,N,0.15,2001
111511,001660,5.8,8.189,A,0.13,2001
111519,001660,29.21,33,A,0.11,2001
111516,001660,20.28,20.682,A,0.06,2001
111515,001660,13.569,14.781,A,0.04,2001
111502,001640,14.65,15.51,N,0.29,2001
111501,001640,13.2,14.65,A,0.27,2001
111517,001660,21,25.7,A,0.23,2001
111505,001650,9.145,9.46,N,0.15,2001
111503,001650,0,8.207,N,0.07,2001
111509,001650,14.08,14.24,N,0.18,2001
111504,001650,8.207,9.145,N,0.14,2001
111507,001650,9.765,13.05,N,0.12,2001
111513,001660,9.785,10.92,A,0.22,2001
111500,001640,12.131,13.2,A,0.21,2001
111508,001650,13.05,14.08,N,0.09,2001
111514,001660,10.92,13.569,A,0.05,2001
111512,001660,8.189,9.785,A,0.13,2001
111518,001660,25.7,29.21,A,0.12,2001
111510,001660,0,5.8,A,0.14,2001
111531,001660,62.337,62.983,A,0.1,2001
111525,001660,49.414,50.969,A,0.18,2001
111527,001660,52,55.239,A,0.29,2001
111523,001660,44.888,45.548,A,0.13,2001
111521,001660,40.391,44.1,A,0.29,2001
111530,001660,60.58,62.337,A,0.04,2001
111535,001661,4.72,5.24,N,0.16,2001
111526,001660,50.969,52,A,0.26,2001
111529,001660,58.461,60.58,A,0.11,2001
111534,001660,68.591,73.888,A,0.09,2001
111536,001661,5.24,5.765,N,0.24,2001
111537,001662,0,0.265,A,0.05,2001
111532,001660,63,68,A,0.1,2001
111538,001662,3.661,3.804,N,0.12,2001
111533,001660,68,68.591,A,0.11,2001
111539,001664,0,0.255,N,0.19,2001
111520,001660,33,40.391,A,0.4,2001
111522,001660,44.1,44.888,A,0.16,2001
111524,001660,45.548,49.414,A,0.2,2001
