id,segcode,bmp,emp,dir,cracking,year
61536,001660,25.7,29.21,D,3.5,2000
61531,001660,13.569,14.781,D,5,2000
61524,001660,68,68.591,A,3,2000
61520,001660,58.461,60.58,A,4,2000
61530,001660,10.92,13.569,D,5,2000
61538,001660,33,40.391,D,2.6,2000
61532,008339,14.781,16.588,D,3.8,2000
61528,001660,8.189,9.785,D,5,2000
61527,001660,5.8,8.189,D,5,2000
61521,001660,60.58,62.337,A,4.5,2000
61529,001660,9.785,10.92,D,5,2000
61537,001660,29.21,33,D,2.8,2000
61526,001660,0,5.8,D,5,2000
61522,001660,62.337,62.983,A,4.5,2000
61523,001660,63,68,A,5,2000
61534,001660,20.28,20.682,D,4,2000
61539,001660,40.391,44.1,D,5,2000
61535,001660,21,25.7,D,4,2000
61533,008339,16.588,20.28,D,3.5,2000
61525,001660,68.591,73.888,A,3,2000
61552,001660,68.591,73.888,D,3,2000
61540,001660,44.1,44.888,D,5,2000
61549,001660,62.337,62.983,D,4.5,2000
61544,001660,50.969,52,D,5,2000
61556,001670,60.89,61.607,N,3,2000
61546,001660,55.239,58.461,D,5,2000
61548,001660,60.58,62.337,D,4.5,2000
61555,005920,0,0.2,N,4,2000
61554,001666,0.565,1,N,3,2000
61557,001661,4.72,5.24,N,3,2000
61550,001660,63,68,D,5,2000
61542,001660,45.548,49.414,D,4.8,2000
61543,001660,49.414,50.969,D,5,2000
61541,001660,44.888,45.548,D,5,2000
61558,001664,0.944,1.52,A,1.5,2000
61559,001664,0,0.255,N,4,2000
61551,001660,68,68.591,D,3,2000
61547,001660,58.461,60.58,D,4,2000
61545,001660,52,55.239,D,5,2000
61553,001666,0,0.565,N,2.5,2000
61567,002410,0,1.092,D,4,2000
61568,002410,1.092,2.721,D,4,2000
61565,002410,1.092,2.721,A,4,2000
61577,001800,4.58,6.349,N,5,2000
61562,001665,3.847,3.928,N,3,2000
61571,001580,6.359,11.175,N,2.6,2000
61574,001800,0,0.467,N,3,2000
61569,002410,2.721,3.62,D,4.5,2000
61561,001664,0.944,1.52,D,1.5,2000
61573,001540,522.765,522.864,N,4.5,2000
61564,002410,0,1.092,A,4,2000
61575,001800,0.467,2.484,N,1,2000
61576,001800,2.502,4.58,N,1,2000
61572,001540,522.223,522.765,N,4.5,2000
61566,002410,2.721,3.62,A,4.5,2000
61563,001665,3.928,3.957,N,3,2000
61560,001664,0.255,0.944,N,3.5,2000
61579,001800,12.275,12.4,N,4.8,2000
61570,001580,0,6.359,N,3,2000
61578,001800,6.349,12.275,N,5,2000
61595,001800,74.549,76.716,N,2.3,2000
61588,001800,48.228,52.439,N,5,2000
61586,001800,39,39.54,N,1.3,2000
61585,001800,25.594,29,N,5,2000
61594,001800,73.454,74.549,N,2,2000
61589,001800,52.439,58.335,N,5,2000
61592,001800,67.618,70.124,N,5,2000
61581,001800,13.84,16.1,N,3.8,2000
61583,001800,18,22.413,N,5,2000
61584,001800,22.413,25.594,N,5,2000
61587,001800,39.54,48.228,N,2.2,2000
61582,001800,16.1,17.85,N,2.1,2000
61590,001800,58.335,59.719,N,2.5,2000
61599,001800,81.207,82.787,N,3.5,2000
61591,001800,59.719,67.618,N,2.4,2000
61593,001800,70.003,73.454,N,5,2000
61596,001800,76.716,77.942,N,2.4,2000
61580,001800,12.4,13.66,N,4.8,2000
61598,001800,79.039,81.207,N,2.7,2000
61597,001800,77.942,79.039,N,2.9,2000
61617,001780,5.335,7.38,N,1.2,2000
61607,001800,89.202,90.917,N,2.3,2000
61602,001800,84.715,85.142,N,2.2,2000
61600,001800,82.787,84.408,N,3.5,2000
61618,001820,0,0.49,N,2.1,2000
61611,001800,95.907,103.245,N,5,2000
61614,001780,1.11,1.27,N,2.4,2000
61605,001800,87.414,87.425,N,1.9,2000
61615,001780,1.27,1.647,N,1.5,2000
61601,001800,84.408,84.715,N,3.5,2000
61604,001800,87.321,87.414,N,5,2000
61616,001780,1.647,5.324,N,1.2,2000
61613,001800,109.369,117.68,N,3.2,2000
61609,001800,93.142,95.758,N,1.6,2000
61606,001800,87.588,89.202,N,1.9,2000
61612,001800,103.245,109.369,N,5,2000
61608,001800,90.917,93.142,N,1.9,2000
61610,001800,95.799,95.907,N,1.6,2000
61603,001800,85.142,86.428,N,5,2000
61619,001820,0.49,1.132,N,5,2000
61632,001820,18.925,19.14,N,3.9,2000
61624,001820,4.832,5.856,N,4.8,2000
61622,001820,4.42,4.55,N,5,2000
61625,001820,5.856,7.895,N,3.1,2000
61639,001850,17.157,20.286,N,3.5,2000
61629,001820,17.235,17.897,N,5,2000
61636,001850,4.332,5.45,N,4.8,2000
61635,001850,2.25,4.332,N,4.8,2000
61628,001820,13.971,17.235,N,5,2000
61621,001820,3.566,4.4,N,5,2000
61620,001820,1.132,3.566,N,5,2000
61630,001820,17.897,18.67,N,2.5,2000
61638,001850,9.888,17.157,N,4,2000
61637,001850,5.45,9.888,N,4.8,2000
61627,001820,11.262,13.971,N,4.8,2000
61623,015998,4.55,4.82,N,5,2000
61626,001820,7.895,11.262,N,5,2000
61633,001850,0,1.291,N,4.8,2000
61634,001850,1.291,2.25,N,4.8,2000
61631,001820,18.67,18.925,N,3.9,2000
61645,001920,40.149,48.861,N,0,2000
61658,001870,2.429,2.73,N,3.5,2000
61652,001870,0.307,0.726,N,5,2000
61656,001870,1.797,1.917,N,2.2,2000
61644,001920,36.787,40.149,N,0,2000
61659,001870,2.73,3.28,N,3.9,2000
61655,001870,1.609,1.797,N,3.5,2000
61646,001920,49.28,49.455,N,4,2000
61651,001870,0,0.307,N,5,2000
61641,001850,21.605,25.83,N,5,2000
61649,001920,50.886,53.016,N,4,2000
61647,001920,49.455,49.952,N,5,2000
61642,001850,25.83,35.055,N,5,2000
61650,001920,53.016,53.346,N,2,2000
61643,001840,100,104.42,N,1.5,2000
61657,001870,2.331,2.429,N,5,2000
61653,001870,0.726,1.334,N,5,2000
61648,001920,49.952,50.886,N,5,2000
61640,001850,20.286,21.605,N,5,2000
61654,001870,1.334,1.609,N,4.5,2000
61677,001930,0,2.75,N,4.2,2000
