id,route,milepost_from,segment_from,milepost_to,segment_to,effective_date,jurisdiction_left,jurisdiction_left_code,jurisdiction_right,jurisdiction_right_code,comments,user_update,year
86973,,100,030347,100.111,030347,7/29/2002,State Lands,9000,State Lands,9000,,SYSTEM,2014
86974,,100,030368,100.107,030368,5/6/2010,Power County,390,Power County,390,,SYSTEM,2014
86975,,100,030403,101.269,030403,5/17/2001,Owyhee County,370,Owyhee County,370,,SYSTEM,2014
86976,,100,030404,114.494,030404,12/31/2001,Boise County,80,Boise County,80,,SYSTEM,2014
86977,,100,030405,100.334,030405,7/31/2002,North Latah Hd,1270,North Latah Hd,1270,,SYSTEM,2014
86978,,100,030416,100.086,030416,1/1/2011,Clearwater Natl Forest,530,Clearwater Natl Forest,530,,SYSTEM,2014
86979,,100,030417,100.04,030417,8/23/2002,Clearwater Natl Forest,530,Clearwater Natl Forest,530,,SYSTEM,2014
86980,,100,030418,100.052,030418,8/23/2002,Clearwater Natl Forest,530,Clearwater Natl Forest,530,,SYSTEM,2014
86981,,100,030419,100.04,030419,8/23/2002,Clearwater Natl Forest,530,Clearwater Natl Forest,530,,SYSTEM,2014
86982,,100,030421,100.156,030421,11/16/2003,Idaho Falls,2370,Idaho Falls,2370,,SYSTEM,2014
86983,,100,030425,100.314,030425,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86984,,100,030426,100.81,030426,12/12/2003,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86985,,100,030428,100.53,030428,4/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86986,,100,030429,100.076,030429,4/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86987,,100,030430,100.188,030430,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86988,,100,030431,100.31,030431,12/12/2003,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86989,,100,030432,100.225,030432,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86990,,100,030433,100.879,030433,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86991,,100,030434,100.25,030434,12/12/2003,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86992,,100,030435,100.862,030435,9/28/2009,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86993,,100,030436,100.328,030436,12/12/2003,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86994,,100,030438,100.26,030438,10/12/2004,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86995,,100,030441,100.182,030441,11/6/2003,Post Falls,3020,Post Falls,3020,,SYSTEM,2014
86996,,100,030442,100.196,030442,11/6/2003,Post Falls,3020,Post Falls,3020,,SYSTEM,2014
86997,,100,030443,100.319,030443,11/6/2003,Post Falls,3020,Post Falls,3020,,SYSTEM,2014
86998,,100,030446,100.48,030446,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
86999,,100,030447,100.51,030447,5/21/2003,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87000,,100,030448,100.255,030448,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87001,,100,030449,101.5,030449,5/21/2003,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87002,,100,030450,100.259,030450,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87003,,100,030452,100.741,030452,9/10/2002,Pocatello,3000,Pocatello,3000,,SYSTEM,2014
87004,,100,030454,100.829,030454,12/1/2010,Pocatello,3000,Pocatello,3000,,SYSTEM,2014
87005,,100,030455,100.042,030455,10/12/2004,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87006,,100,030457,101.567,030457,5/20/2013,Caldwell,1740,Caldwell,1740,,SYSTEM,2014
87007,,100,030458,101.149,030458,10/12/2004,Bonner County,90,Bonner County,90,,SYSTEM,2014
87008,,100,030459,100.51,030459,9/1/2004,Bonner County,90,Bonner County,90,,SYSTEM,2014
87009,,100,030460,100.058,030460,12/31/2004,Bonner County,90,Bonner County,90,,SYSTEM,2014
87010,,100,030461,100.056,030461,1/1/2010,Coeur D'Alene,1840,Coeur D'Alene,1840,,SYSTEM,2014
87011,,100,030462,100.093,030462,1/1/2010,Coeur D'Alene,1840,Coeur D'Alene,1840,,SYSTEM,2014
87012,,100,030463,100.927,030463,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87013,,100,030464,101.678,030464,5/20/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87014,,100,030466,100.238,030466,12/12/2003,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87015,,100,030467,100.187,030467,12/12/2003,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87016,,100,030469,100.995,030469,12/12/2004,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87017,,100,030470,100.475,030470,12/12/2004,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87018,,100,030472,100.747,030472,12/1/2010,Chubbuck,1800,Chubbuck,1800,,SYSTEM,2014
87019,,100,030478,100.56,030478,11/4/2005,Bonneville County,100,Bonneville County,100,,SYSTEM,2014
87020,,100,030480,100.73,030480,4/29/1999,South Latah Hd,1390,South Latah Hd,1390,,SYSTEM,2014
87021,,100,030484,100.652,030484,6/1/2014,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
87022,,100,030485,100.074,030485,6/1/2014,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
87023,,100,030493,100.044,030493,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87024,,100,030494,100.655,030494,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87025,,100,030495,100.106,030495,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87026,,100,030496,100.218,030496,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87027,,100,030497,100.088,030497,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87028,,100,030498,100.07,030498,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87029,,100,030499,100.087,030499,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87030,,100,030500,100.114,030500,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
87031,,100,030502,100.127,030502,10/24/2013,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2014
